distance  ,0.478427, angle_to_goal(rad)  ,0.0365373, inc_x  ,383, inc_y  ,14
distance  ,0.417612, angle_to_goal(rad)  ,0.0202504, inc_x  ,395, inc_y  ,8
distance  ,0.416066, angle_to_goal(rad)  ,0.00771193, inc_x  ,389, inc_y  ,3
distance  ,0.395309, angle_to_goal(rad)  ,0.00515459, inc_x  ,388, inc_y  ,2
distance  ,0.376293, angle_to_goal(rad)  ,0.00515459, inc_x  ,388, inc_y  ,2
distance  ,-inf, angle_to_goal(rad)  ,-0.358045, inc_x  ,302, inc_y  ,-113
distance  ,nan, angle_to_goal(rad)  ,-0.274795, inc_x  ,415, inc_y  ,-117
distance  ,0.450612, angle_to_goal(rad)  ,-0.274795, inc_x  ,415, inc_y  ,-117
distance  ,nan, angle_to_goal(rad)  ,-0.277047, inc_x  ,422, inc_y  ,-120
distance  ,nan, angle_to_goal(rad)  ,-0.277047, inc_x  ,422, inc_y  ,-120
distance  ,nan, angle_to_goal(rad)  ,-0.223199, inc_x  ,467, inc_y  ,-106
distance  ,nan, angle_to_goal(rad)  ,-0.223199, inc_x  ,467, inc_y  ,-106
distance  ,nan, angle_to_goal(rad)  ,-0.226028, inc_x  ,474, inc_y  ,-109
distance  ,nan, angle_to_goal(rad)  ,-0.228174, inc_x  ,478, inc_y  ,-111
distance  ,nan, angle_to_goal(rad)  ,-0.220219, inc_x  ,478, inc_y  ,-107
distance  ,nan, angle_to_goal(rad)  ,-0.214491, inc_x  ,482, inc_y  ,-105
distance  ,nan, angle_to_goal(rad)  ,-0.211378, inc_x  ,480, inc_y  ,-103
distance  ,nan, angle_to_goal(rad)  ,-0.211378, inc_x  ,480, inc_y  ,-103
distance  ,nan, angle_to_goal(rad)  ,-0.217785, inc_x  ,479, inc_y  ,-106
distance  ,nan, angle_to_goal(rad)  ,-0.217785, inc_x  ,479, inc_y  ,-106
distance  ,nan, angle_to_goal(rad)  ,-0.217345, inc_x  ,480, inc_y  ,-106
distance  ,nan, angle_to_goal(rad)  ,-0.26426, inc_x  ,425, inc_y  ,-115
distance  ,nan, angle_to_goal(rad)  ,-0.016876, inc_x  ,474, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0042283, inc_x  ,473, inc_y  ,-2
distance  ,nan, angle_to_goal(rad)  ,0, inc_x  ,479, inc_y  ,0
distance  ,nan, angle_to_goal(rad)  ,0.00417534, inc_x  ,479, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,0.00417534, inc_x  ,479, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,0.0147358, inc_x  ,475, inc_y  ,7
distance  ,nan, angle_to_goal(rad)  ,0.0147358, inc_x  ,475, inc_y  ,7
distance  ,nan, angle_to_goal(rad)  ,0.0208303, inc_x  ,480, inc_y  ,10
distance  ,nan, angle_to_goal(rad)  ,0.0187478, inc_x  ,480, inc_y  ,9
distance  ,nan, angle_to_goal(rad)  ,0.0124993, inc_x  ,480, inc_y  ,6
distance  ,nan, angle_to_goal(rad)  ,0.0104163, inc_x  ,480, inc_y  ,5
distance  ,nan, angle_to_goal(rad)  ,0.0208303, inc_x  ,480, inc_y  ,10
distance  ,nan, angle_to_goal(rad)  ,0.0208303, inc_x  ,480, inc_y  ,10
distance  ,nan, angle_to_goal(rad)  ,0.0103089, inc_x  ,485, inc_y  ,5
distance  ,nan, angle_to_goal(rad)  ,0.0103089, inc_x  ,485, inc_y  ,5
distance  ,nan, angle_to_goal(rad)  ,-0.00405677, inc_x  ,493, inc_y  ,-2
distance  ,inf, angle_to_goal(rad)  ,-0.00201613, inc_x  ,496, inc_y  ,-1
distance  ,nan, angle_to_goal(rad)  ,-0.00201613, inc_x  ,496, inc_y  ,-1
distance  ,inf, angle_to_goal(rad)  ,-0.00798386, inc_x  ,501, inc_y  ,-4
distance  ,nan, angle_to_goal(rad)  ,-0.00798386, inc_x  ,501, inc_y  ,-4
distance  ,inf, angle_to_goal(rad)  ,-0.0118572, inc_x  ,506, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0196825, inc_x  ,508, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.172439, inc_x  ,511, inc_y  ,-89
distance  ,nan, angle_to_goal(rad)  ,-0.172439, inc_x  ,511, inc_y  ,-89
distance  ,nan, angle_to_goal(rad)  ,-0.172439, inc_x  ,511, inc_y  ,-89
distance  ,nan, angle_to_goal(rad)  ,-0.0233421, inc_x  ,514, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.00970843, inc_x  ,515, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.00396823, inc_x  ,504, inc_y  ,-2
distance  ,nan, angle_to_goal(rad)  ,-0.0120962, inc_x  ,496, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.00205761, inc_x  ,486, inc_y  ,-1
distance  ,nan, angle_to_goal(rad)  ,0.00420166, inc_x  ,476, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,0.00420166, inc_x  ,476, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,0.0124993, inc_x  ,480, inc_y  ,6
distance  ,nan, angle_to_goal(rad)  ,0.0124993, inc_x  ,480, inc_y  ,6
distance  ,nan, angle_to_goal(rad)  ,-0.0104599, inc_x  ,478, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,0.00413221, inc_x  ,484, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,0.00413221, inc_x  ,484, inc_y  ,2
distance  ,0.451677, angle_to_goal(rad)  ,0, inc_x  ,400, inc_y  ,0
distance  ,0.455809, angle_to_goal(rad)  ,0, inc_x  ,400, inc_y  ,0
distance  ,nan, angle_to_goal(rad)  ,-0.723679, inc_x  ,189, inc_y  ,-167
distance  ,nan, angle_to_goal(rad)  ,0.163156, inc_x  ,407, inc_y  ,67
distance  ,nan, angle_to_goal(rad)  ,0.163156, inc_x  ,407, inc_y  ,67
distance  ,0.464547, angle_to_goal(rad)  ,0.18267, inc_x  ,406, inc_y  ,75
distance  ,0.468819, angle_to_goal(rad)  ,0.155072, inc_x  ,403, inc_y  ,63
distance  ,0.471934, angle_to_goal(rad)  ,0.171981, inc_x  ,403, inc_y  ,70
distance  ,nan, angle_to_goal(rad)  ,0.173966, inc_x  ,404, inc_y  ,71
distance  ,0.479637, angle_to_goal(rad)  ,0.16839, inc_x  ,400, inc_y  ,68
distance  ,0.483219, angle_to_goal(rad)  ,0.163126, inc_x  ,401, inc_y  ,66
distance  ,0.483567, angle_to_goal(rad)  ,0.174236, inc_x  ,392, inc_y  ,69
distance  ,0.483848, angle_to_goal(rad)  ,0.174236, inc_x  ,392, inc_y  ,69
distance  ,0.491575, angle_to_goal(rad)  ,0.175111, inc_x  ,390, inc_y  ,69
distance  ,nan, angle_to_goal(rad)  ,0.161733, inc_x  ,380, inc_y  ,62
distance  ,nan, angle_to_goal(rad)  ,0.161733, inc_x  ,380, inc_y  ,62
distance  ,nan, angle_to_goal(rad)  ,0.164707, inc_x  ,367, inc_y  ,61
distance  ,nan, angle_to_goal(rad)  ,0.087927, inc_x  ,363, inc_y  ,32
distance  ,nan, angle_to_goal(rad)  ,0.213418, inc_x  ,323, inc_y  ,70
distance  ,nan, angle_to_goal(rad)  ,0.198605, inc_x  ,318, inc_y  ,64
distance  ,-inf, angle_to_goal(rad)  ,0.230883, inc_x  ,268, inc_y  ,63
distance  ,nan, angle_to_goal(rad)  ,0.230883, inc_x  ,268, inc_y  ,63
distance  ,0.443189, angle_to_goal(rad)  ,0.0274441, inc_x  ,255, inc_y  ,7
distance  ,nan, angle_to_goal(rad)  ,0.261268, inc_x  ,187, inc_y  ,50
distance  ,nan, angle_to_goal(rad)  ,0.280373, inc_x  ,191, inc_y  ,55
distance  ,nan, angle_to_goal(rad)  ,0.312742, inc_x  ,167, inc_y  ,54
distance  ,nan, angle_to_goal(rad)  ,0.312742, inc_x  ,167, inc_y  ,54
distance  ,0.422326, angle_to_goal(rad)  ,3.13654, inc_x  ,-396, inc_y  ,2
distance  ,0.421171, angle_to_goal(rad)  ,3.13654, inc_x  ,-396, inc_y  ,2
distance  ,nan, angle_to_goal(rad)  ,3.13392, inc_x  ,-391, inc_y  ,3
distance  ,nan, angle_to_goal(rad)  ,3.13139, inc_x  ,-392, inc_y  ,4
distance  ,nan, angle_to_goal(rad)  ,3.13139, inc_x  ,-392, inc_y  ,4
distance  ,nan, angle_to_goal(rad)  ,3.12663, inc_x  ,-401, inc_y  ,6
distance  ,nan, angle_to_goal(rad)  ,3.12663, inc_x  ,-401, inc_y  ,6
distance  ,nan, angle_to_goal(rad)  ,0.346037, inc_x  ,147, inc_y  ,53
distance  ,1.4545, angle_to_goal(rad)  ,0.346037, inc_x  ,147, inc_y  ,53
distance  ,nan, angle_to_goal(rad)  ,0.200797, inc_x  ,113, inc_y  ,23
distance  ,nan, angle_to_goal(rad)  ,0.200797, inc_x  ,113, inc_y  ,23
distance  ,nan, angle_to_goal(rad)  ,0.17594, inc_x  ,135, inc_y  ,24
distance  ,nan, angle_to_goal(rad)  ,0.17594, inc_x  ,135, inc_y  ,24
distance  ,nan, angle_to_goal(rad)  ,0.147849, inc_x  ,141, inc_y  ,21
distance  ,nan, angle_to_goal(rad)  ,0.147849, inc_x  ,141, inc_y  ,21
distance  ,nan, angle_to_goal(rad)  ,0.0934768, inc_x  ,160, inc_y  ,15
distance  ,nan, angle_to_goal(rad)  ,0.0934768, inc_x  ,160, inc_y  ,15
distance  ,nan, angle_to_goal(rad)  ,-0.0397142, inc_x  ,151, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,3.13428, inc_x  ,-410, inc_y  ,3
distance  ,nan, angle_to_goal(rad)  ,3.13428, inc_x  ,-410, inc_y  ,3
distance  ,nan, angle_to_goal(rad)  ,-0.0516781, inc_x  ,116, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0516781, inc_x  ,116, inc_y  ,-6
distance  ,2.28119, angle_to_goal(rad)  ,-3.11709, inc_x  ,-408, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-3.11709, inc_x  ,-408, inc_y  ,-10
distance  ,0.336337, angle_to_goal(rad)  ,-3.12682, inc_x  ,-406, inc_y  ,-6
